id_projet,nom_projet,type_projet,budget_estime,budget_reel,duree_estimee,duree_reelle,retard,incident_qualite,incident_securite,materiaux_defectueux,conditions_meteo
2bc990c9,Mcmillan-Ramirez,Pont,3520042.71,4812072.117254981,323,436.84638468673364,113,5,8,3.01,Moyennes
72b9c062,George and Sons,Pont,1676226.62,2221203.5606336133,357,449.2356185338059,92,5,6,14.65,Mauvaises
eb707eec,"Levy, Parker and Molina",Bâtiment,268433.43,365093.4488237964,57,75.85406722220456,18,16,2,7.13,Bonnes
c2c9e32f,Campos LLC,Bâtiment,4708656.98,4233008.593009159,93,92.07433728482145,0,1,7,12.4,Mauvaises
07a81f14,"Black, Pearson and Craig",Route,4436629.88,6631016.355864423,510,576.9552521519453,66,11,8,6.93,Moyennes
b0011b11,Parker-Evans,Route,954912.38,1046029.2141646397,65,87.4367852065227,22,11,0,7.9,Mauvaises
8af246bb,"Holland, Barry and Baker",Pont,2867240.29,3034899.223774228,63,72.95003525517423,9,1,2,14.37,Mauvaises
ca6fad1b,Pittman-Gordon,Route,3811751.45,3615008.13107472,555,646.1621522242258,91,9,7,12.59,Mauvaises
bd66e4e9,"Perry, Willis and Love",Bâtiment,3825780.3,3691071.7424246846,300,406.7619123432147,106,18,3,13.48,Mauvaises
c34e0281,Woods-Rodriguez,Route,1682877.93,1752819.0899234228,689,999.5065003386675,310,11,1,3.02,Mauvaises
5fdc0a07,Hooper and Sons,Bâtiment,4161254.03,5109404.562757705,267,332.8448409063628,65,18,8,12.9,Mauvaises
f4b9ca08,"Walker, Smith and Jensen",Bâtiment,3642880.72,3500814.1887093917,249,335.98543300149345,86,5,6,1.63,Mauvaises
eca81edf,"Williams, Davidson and Macdonald",Route,3660048.72,3935655.113329688,585,802.2373511879088,217,8,7,5.86,Bonnes
adfdce85,Lopez PLC,Pont,577436.44,473066.97098242806,89,121.48579589540293,32,3,6,10.71,Moyennes
812e7333,Wade PLC,Pont,3689242.94,3749613.559269712,118,109.0555629891709,0,2,5,2.82,Mauvaises
98c352bb,"Tucker, Smith and Malone",Bâtiment,3754722.62,4241516.579611228,641,837.1418602807346,196,10,10,10.4,Mauvaises
7ffca39f,Williams PLC,Pont,1542629.09,2257735.5088922605,56,76.07877042929216,20,5,10,10.71,Bonnes
27bbc6db,"Gutierrez, Campbell and Rogers",Pont,1067905.28,1238203.9800220907,639,579.2955143480874,0,17,7,9.51,Mauvaises
5388e933,Davila-Thompson,Bâtiment,1415975.78,1353868.358503665,715,729.2366233675563,14,15,3,5.0,Mauvaises
032d01b5,Greer and Sons,Bâtiment,3729526.14,5392940.848220789,293,392.6453325654095,99,4,10,6.68,Mauvaises
3c0634a1,Quinn LLC,Pont,4382152.71,5273244.237625618,418,564.9102160088199,146,4,10,14.87,Moyennes
4882024d,Lucas and Sons,Route,1606326.3,1437801.6416510972,531,563.2452758229753,32,10,6,10.31,Bonnes
87cb54f9,Dyer-Wagner,Bâtiment,3665158.57,2977501.571738653,482,705.6487995313829,223,17,1,3.21,Mauvaises
a8b99e0e,"Dixon, Reed and Underwood",Bâtiment,651689.48,869939.5620386953,671,675.4487017701179,4,0,6,3.34,Bonnes
94339b43,Munoz-Fletcher,Route,1859145.35,2461230.4826097745,237,316.8984282933005,79,20,0,1.58,Mauvaises
0d234673,Thomas and Sons,Pont,135653.88,189635.54306582565,141,207.56173078575063,66,8,2,14.17,Mauvaises
